carat,cut,color,price
0.23,Ideal,E,326
0.21,Premium,E,326
0.23,Good,E,327
0.29,Premium,I,334
0.31,Good,J,335
0.24,Very Good,J,336
0.24,Very Good,I,336
0.26,Very Good,H,337
0.22,Fair,E,337
0.23,Very Good,H,338
0.3,Good,J,339
0.23,Ideal,J,340
0.22,Premium,F,342
0.31,Ideal,J,344
0.2,Premium,E,345
0.32,Premium,E,345
0.3,Ideal,I,348
0.3,Good,J,351
0.3,Good,J,351
0.3,Very Good,J,351
0.3,Good,I,351
0.23,Very Good,E,352
0.23,Very Good,H,353
0.31,Very Good,J,353
0.31,Very Good,J,353
0.23,Very Good,G,354
0.24,Premium,I,355
0.3,Very Good,J,357
0.23,Very Good,D,357
0.23,Very Good,F,357
0.23,Very Good,F,402
0.23,Very Good,F,402
0.23,Very Good,E,402
0.23,Very Good,E,402
0.23,Very Good,D,402
0.23,Good,F,402
0.23,Good,E,402
0.31,Good,H,402
0.26,Very Good,D,403
0.33,Ideal,I,403
0.33,Ideal,I,403
0.33,Ideal,J,403
0.26,Good,D,403
0.26,Good,D,403
0.32,Good,H,403
0.29,Premium,F,403
0.32,Very Good,H,403
0.32,Good,H,403
0.25,Very Good,E,404
0.29,Very Good,H,404
0.24,Very Good,F,404
0.23,Ideal,G,404
0.32,Ideal,I,404
0.22,Premium,E,404
0.22,Premium,D,404
0.3,Ideal,I,405
0.3,Premium,J,405
0.3,Very Good,I,405
0.3,Very Good,I,405
0.3,Good,I,405
0.35,Ideal,I,552
0.3,Premium,D,552
0.3,Ideal,D,552
0.3,Ideal,D,552
0.42,Premium,I,552
0.28,Ideal,G,553
0.32,Ideal,I,553
0.31,Very Good,G,553
0.31,Premium,G,553
0.24,Premium,E,553
0.24,Very Good,D,553
0.3,Very Good,H,554
0.3,Premium,H,554
0.3,Premium,H,554
0.3,Good,H,554
0.26,Very Good,F,554
0.26,Very Good,E,554
0.26,Very Good,D,554
0.26,Very Good,D,554
0.26,Very Good,E,554
0.26,Very Good,E,554
0.26,Very Good,D,554
0.26,Ideal,E,554
0.38,Ideal,I,554
0.26,Good,E,554
0.24,Premium,G,554
0.24,Premium,H,554
0.24,Premium,H,554
0.24,Premium,H,554
0.32,Premium,I,554
0.7,Ideal,E,2757
0.86,Fair,E,2757
0.7,Ideal,G,2757
0.71,Very Good,E,2759
0.78,Very Good,G,2759
0.7,Good,E,2759
0.7,Good,F,2759
0.96,Fair,F,2759
0.73,Very Good,E,2760
0.8,Premium,H,2760
0.75,Very Good,D,2760
0.75,Premium,E,2760
0.74,Ideal,G,2760
0.75,Premium,G,2760
0.8,Ideal,I,2760
0.75,Ideal,G,2760
0.8,Premium,G,2760
0.74,Ideal,I,2761
0.81,Ideal,F,2761
0.59,Ideal,E,2761
0.8,Ideal,F,2761
0.74,Ideal,E,2761
0.9,Premium,I,2761
0.74,Very Good,G,2762
0.73,Ideal,F,2762
0.73,Ideal,F,2762
0.8,Premium,F,2762
0.71,Ideal,G,2762
0.7,Ideal,E,2762
0.8,Ideal,F,2762
0.71,Ideal,D,2762
0.74,Ideal,E,2762
0.7,Very Good,F,2762
0.7,Fair,F,2762
0.7,Fair,F,2762
0.7,Premium,F,2762
0.91,Premium,H,2763
0.61,Very Good,D,2763
0.91,Fair,H,2763
0.91,Fair,H,2763
0.77,Ideal,H,2763
0.71,Very Good,D,2764
0.71,Ideal,D,2764
0.7,Very Good,E,2765
0.77,Very Good,H,2765
0.63,Premium,E,2765
0.71,Very Good,F,2765
0.71,Premium,F,2765
0.76,Ideal,H,2765
0.64,Ideal,G,2766
0.71,Premium,G,2766
0.71,Premium,G,2766
0.7,Very Good,D,2767
0.7,Very Good,F,2767
0.71,Ideal,D,2767
0.7,Good,H,2767
0.71,Very Good,G,2768
0.73,Very Good,D,2768
0.7,Very Good,D,2768
0.7,Ideal,E,2768
0.71,Premium,D,2768
0.74,Ideal,I,2769
0.71,Premium,D,2770
0.73,Premium,G,2770
0.76,Very Good,F,2770
0.76,Ideal,D,2770
0.71,Ideal,F,2770
0.73,Premium,G,2770
0.73,Premium,G,2770
0.73,Ideal,D,2770
0.73,Premium,G,2770
0.72,Very Good,H,2771
0.73,Very Good,F,2771
0.71,Ideal,G,2771
0.79,Ideal,F,2771
0.73,Very Good,H,2772
0.8,Very Good,F,2772
0.58,Ideal,G,2772
0.58,Ideal,F,2772
0.71,Good,E,2772
0.75,Ideal,D,2773
0.7,Premium,D,2773
1.17,Very Good,J,2774
0.6,Ideal,E,2774
0.7,Ideal,E,2774
0.83,Good,I,2774
0.74,Very Good,F,2775
0.72,Very Good,G,2776
0.71,Premium,E,2776
0.71,Ideal,E,2776
0.54,Ideal,E,2776
0.54,Ideal,E,2776
0.72,Ideal,G,2776
0.72,Ideal,G,2776
0.72,Good,G,2776
0.71,Ideal,G,2776
0.7,Very Good,D,2777
0.71,Premium,F,2777
0.71,Very Good,F,2777
0.71,Good,F,2777
0.71,Good,F,2777
0.7,Ideal,E,2777
0.7,Premium,E,2777
0.7,Premium,E,2777
0.7,Premium,E,2777
0.7,Premium,E,2777
0.7,Premium,E,2777
0.7,Premium,E,2777
0.7,Ideal,E,2777
0.72,Premium,F,2777
0.7,Very Good,E,2777
0.7,Premium,E,2777
0.7,Premium,E,2777
0.7,Good,E,2777
0.98,Fair,H,2777
0.78,Premium,F,2777
0.7,Very Good,E,2777
0.52,Ideal,F,2778
0.73,Very Good,H,2779
0.74,Ideal,E,2779
0.7,Very Good,F,2780
0.77,Premium,G,2780
0.71,Ideal,F,2780
0.74,Ideal,G,2780
0.7,Ideal,G,2780
1.01,Premium,F,2781
0.77,Ideal,H,2781
0.78,Ideal,H,2781
0.72,Very Good,H,2782
0.53,Very Good,D,2782
0.76,Ideal,G,2782
0.7,Good,E,2782
0.7,Premium,E,2782
0.75,Very Good,D,2782
0.72,Ideal,D,2782
0.72,Premium,D,2782
0.7,Premium,D,2782
0.84,Fair,G,2782
0.75,Premium,F,2782
0.52,Ideal,F,2783
0.72,Very Good,F,2784
0.79,Very Good,H,2784
0.72,Very Good,F,2787
0.51,Ideal,F,2787
0.64,Ideal,D,2787
0.7,Very Good,H,2788
0.83,Very Good,I,2788
0.76,Ideal,I,2788
0.71,Good,D,2788
0.77,Good,G,2788
0.71,Ideal,F,2788
1.01,Fair,E,2788
1.01,Premium,H,2788
0.77,Good,F,2789
0.76,Good,E,2789
0.76,Premium,E,2789
0.76,Premium,E,2789
1.05,Very Good,J,2789
0.81,Ideal,G,2789
0.7,Ideal,E,2789
0.55,Ideal,G,2789
0.81,Good,G,2789
0.63,Premium,E,2789
0.63,Premium,E,2789
0.77,Premium,H,2789
1.05,Fair,J,2789
0.64,Ideal,G,2790
0.76,Premium,I,2790
0.83,Ideal,F,2790
0.71,Premium,F,2790
0.71,Premium,F,2790
0.87,Very Good,I,2791
0.73,Ideal,E,2791
0.71,Premium,E,2792
0.71,Premium,E,2792
0.71,Ideal,E,2792
0.7,Premium,F,2792
0.7,Premium,F,2792
0.76,Premium,H,2792
0.7,Ideal,F,2792
0.79,Very Good,G,2793
0.7,Very Good,E,2793
0.7,Good,E,2793
0.76,Ideal,I,2793
0.73,Ideal,H,2793
0.79,Very Good,E,2794
0.71,Very Good,E,2795
0.81,Premium,I,2795
0.81,Ideal,F,2795
0.72,Good,F,2795
0.72,Premium,D,2795
0.72,Premium,I,2795
0.81,Premium,H,2795
0.72,Premium,G,2795
1.0,Premium,I,2795
0.73,Good,E,2796
0.81,Very Good,H,2797
0.81,Very Good,E,2797
0.71,Premium,D,2797
0.71,Premium,D,2797
0.71,Premium,D,2797
0.57,Ideal,F,2797
0.51,Ideal,D,2797
0.72,Ideal,G,2797
0.74,Ideal,H,2797
0.74,Ideal,H,2797
0.7,Fair,G,2797
0.8,Premium,F,2797
1.01,Fair,E,2797
0.8,Very Good,H,2797
0.77,Ideal,I,2798
0.83,Very Good,E,2799
0.82,Ideal,F,2799
0.78,Ideal,D,2799
0.6,Very Good,G,2800
0.9,Good,I,2800
0.7,Premium,E,2800
0.9,Very Good,I,2800
0.83,Ideal,G,2800
